name,quadrant_conf,block_conf
"Оптимизатор ИИ флотации ТОФ (медная, коллективная, медно-никелевая цепочка)",0.416,0.719
Реновация СУРТ р.Комсомольский (ЗФ),0.416,0.622
Реновация СВК 7Г УХГЭС (НТЭК),0.416,0.5218
Реновация Система УДГиГК ЮСГКМ (Норильскгазпром),0.416,0.503
Реновация Система УДГиГК ССГКМ (Норильскгазпром),0.416,0.5069
Реновация Система УТВС ССГКМ (Норильскгазпром),0.416,0.5071
Реновация Система УТВС ЮСГКМ (Норильскгазпром),0.416,0.5058
Реновация САУГ 2ГА УХГЭС (НТЭК),0.416,0.6339
Реновация САУГ 1ГА УХГЭС (НТЭК),0.416,0.6319
Перевод средстфа двухфакторной аутентификацией на одноразовых паролях на целевые CORE IT,0.416,1.0
ИИ оптимизатор флотации ГРКБ,0.416,0.8858
Реновация САУ котельной Дудинка (НТГ),0.416,0.6366
"ИИ Оптимизатор флотации никелевого шлака НМЗ, серо-сульфидной флотации гидро-металлургического передела НМЗ",0.416,0.985
Реновация РО ЗРРУ р.Октябрьский (ЗФ),0.416,0.6119
Реновация СВК 6Г УХГЭС (НТЭК),0.416,0.6342
Реновация СВК 3Г УХГЭС (НТЭК),0.416,0.5206
Техническое перевооружение АСУ утилизацией солевого стока никелевого рафинирования (АСУ УССНР),0.416,0.5094
Реновация АСДУ р.Скалистый (ЗФ),0.416,0.7048
Реновация АСДУ р.Заполярный (МР),0.416,0.7027
Реновация АСАК ТОФ (ЗФ),0.416,0.6395
Реновация АРМ Автовесовой (ГРКБ),0.416,0.5212
Реновация АПЛ резки никеля ЦЭН (КГМК),0.416,0.6789
Реновация АСУ автомобильных весов (ГРКБ),0.416,0.5275
Реновация АСУ «Венсети» р.Северный (КГМК),0.416,0.5232
Реновация АСУЭ МЗ (ЗФ),0.416,0.6533
Реновация СКП ТВС р.Комсомольский (ЗФ),0.416,0.5086
"Инфраструктура для замещения ключевых бизнес-приложений, включая SAP ERP ГО",0.416,1.0
Корпоративная система управления производством и производственной логистикой,0.416,0.5396
Перевод прототипа Сквозная оптимизация переделов ОФ в ПЭ,0.416,0.635
"Оснащение источников загрязнения атмосферы системой автоматического контроля выбросов предиктивного типа Axioma в ЗФ ПАО «ГМК «Норильский никель» (тиражирование Axioma - ИЗАВ № 74, 85, 86, 114, 131, 132)",0.416,0.416
Реновация СТК 6Г УХГЭС (НТЭК),0.416,0.5239
Реновация СТК 1Г УХГЭС (НТЭК),0.416,0.5207
Реновация СТК 7Г УХГЭС (НТЭК),0.416,0.5233
ПРОЕКТ ИЦК.МР - Реновация ЗОКИИ Реновация существующих ЗОКИИ по ППРФ 1912 (127 ЗОКИИ) в ООО «Медвежий ручей»,0.416,0.624
Разработка и внедрение корпоративной системы по охране окружающей среды и экологического мониторинга «СТИХИИЭКО» ООО «Медвежий ручей»,0.416,0.6209
Реновация АГК р.Скалистый (ЗФ),0.416,0.6918
